Contact Type,Contact,Street Address,Phone Number,Notes,Mapped location
Job Training,Martha O'Bryan Center,711 S. 7th St.,(615) 254-1791,,"711 S. 7th St.
Nashville, TN
(36.166867, -86.756502)"
Teen Services,Centerstone,,(615) 251-9791 (crisis: 800-681-7444),,"Nashville, TN
(36.166687, -86.779932)"
Rehab - Drug/Alcohol,Parthenon Pavilion CMC Dual Stabilizaiton Unit,2401 Parman Pl.,(615) 342-1400,,"2401 Parman Pl.
Nashville, TN
(36.153336, -86.812162)"
Senior/Disabled Housing,Parthenon Towers,301 28th Ave. N.,(615) 252-3732,housing,"301 28th Ave. N.
Nashville, TN
(36.147406, -86.814172)"
Rehab - Drug/Alcohol,Cumberland Heights,,(615) 352-1757,,"Nashville, TN
(36.166687, -86.779932)"
Lawyers (Immigration),Elliott Ozment,,(615) 321-8888,,"Nashville, TN
(36.166687, -86.779932)"
Housing,Operation Stand Down,1125 12th Ave. S.,(615) 248-1981,veterans only,"1125 12th Ave. S.
Nashville, TN
(36.143411, -86.78683)"
Food,Spirit of Life Church,3646 Murfreesboro Pike,(615) 641-5433,community food bank-pantry,
Tax Prep,Woodbine Community Organization,222 Oriel Ave.,(615) 833-9580,,"222 Oriel Ave.
Nashville, TN
(36.122144, -86.744217)"
Lawyers (Immigration),Andrew Free,,(615) 321-8888,,"Nashville, TN
(36.166687, -86.779932)"
ESL Classes,Christian Women's Job Corp (CWJC),18 8th Ave. S,(615) 244-3669,Women only,
Medical/Dental,St. Thomas Family Health Center (South),"4928 Edmondson Pike, Suite 205",(615) 222-1400,for uninsured residents of Davidson County,"4928 Edmondson Pike, Suite 205
Nashville, TN
(36.076201, -86.727703)"
Children's Services,Nashville Children's Alliance,1266 Foster Ave.,(615) 327-9958,counseling,"1266 Foster Ave.
Nashville, TN
(36.131051, -86.741717)"
Food,Friends in General,1818 Albion St,(615) 341-4415,community food bank-pantry,"1818 Albion St
Nashville, TN
(36.166135, -86.806327)"
Medical/Dental,Siloam Health,820 Gale Ln.,(615) 298-5406,,"820 Gale Ln.
Nashville, TN
(36.118652, -86.775892)"
Children's Services,Tennessee Voices for Children,701 Bradford Ave.,(615) 269-7751,emotional/behavioral well-being,"701 Bradford Ave.
Nashville, TN
(36.129104, -86.775656)"
Legal Assistance,Legal Aid Society,300 Deaderick St.,(615) 244-6610,civil court cases only,"300 Deaderick St.
Nashville, TN
(36.166218, -86.779355)"
Food,Eastminister Presbyterian Church,3930 Gallatin Pike,(615) 262-5531,emergency food assistance,"3930 Gallatin Pike
Nashville, TN
(36.21842, -86.728049)"
Crisis Info Resources,End Slavery TN,"50 Vantage Way, Suite 255",(615) 806-6899,if you or someone you know is being trafficked,"50 Vantage Way, Suite 255
Nashville, TN
(36.191207, -86.796049)"
Medical/Dental,Priest Lake Family and Women's Health Center,2637 Murfreesboro Pike,(615) 292-9770,,"2637 Murfreesboro Pike
Nashville, TN
(36.073241, -86.63745)"
Senior/Disabled Housing,Fifty Forward,174 Rains Avenue,(615) 743-3400,senior resources,"174 Rains Avenue
Nashville, TN
(36.133638, -86.764872)"
Counseling,DV and Sexual Assault Program,Rutherford Co (Call for Location),(615) 896-7377,has weekly Support Group,
Job Training,Magdalene House,5122 Charlotte Pike,(615) 298-1140,victims of abuse/trafficking/addiction/prostitution,"5122 Charlotte Pike
Nashville, TN
(36.151929, -86.849518)"
Rent/Mortgage/Utility Help,Nashville Ladies of Charity,2216 State St.,(615) 327-3453,needs referral from advocate or caseworker,"2216 State St.
Nashville, TN
(36.152215, -86.805896)"
GED/Education,Cohn Adult Learning Center,4805 Park Ave.,(615) 259-8400,,"4805 Park Ave.
Nashville, TN
(36.150961, -86.844705)"
Rent/Mortgage/Utility Help,Residental Resources Inc.,,(615) 650-9779,Mortgage Assistance,"Nashville, TN
(36.166687, -86.779932)"
Crisis Info Resources,Room in the Inn,705 Drexel St.,(615) 251-7019,,"705 Drexel St.
Nashville, TN
(36.152774, -86.778424)"
Food,St. Henry's Catholic Church,6401 Harding Pike,(615) 352-2259,emergency food assistance,"6401 Harding Pike
Nashville, TN
(36.091451, -86.887776)"
Job Training,Goodwill Industries,1015 Herman St.,(615) 545-9231,,"1015 Herman St.
Nashville, TN
(36.168473, -86.793363)"
Clothing,Hermitage Church of Christ,4004 Lebanon Rd,(615) 238-7041,"37076 zip code only; Walk in: Mon, Thu 1:00 pm - 3:00 pm",
Food,Hopewell Baptist Church,908 Monroe,(615) 256-4209,Kids Food Bank and Meals,"908 Monroe
Nashville, TN
(36.174575, -86.795251)"
Teen Services,Tennessee Suicide Prevention Network,2416 21st Ave. S.,(615) 297-1077,,"2416 21st Ave. S.
Nashville, TN
(36.126814, -86.804182)"
Rent/Mortgage/Utility Help,Unemployment Benefits,,(615) 532-1800,https://ui.tn.gov,"Nashville, TN
(36.166687, -86.779932)"
Teen Services,Boys & Girls Club,,(615) 320-5106 or (615) 341-0101,,"Nashville, TN
(36.166687, -86.779932)"
Rent/Mortgage/Utility Help,Citizens for Affordable Housing,,(615) 361-9101,Mortgage Assistance,"Nashville, TN
(36.166687, -86.779932)"
Transportation Services,Travelers Aid,639 Lafayette St.,(615) 780-9471 or (615) 780-9472,stranded travelers needing assistance only,"639 Lafayette St.
Nashville, TN
(36.153679, -86.776712)"
Food,New Song Christian Fellowship,2949 Nolensville Pike,(615) 837-9353,emergency food assistance,"2949 Nolensville Pike
Nashville, TN
(36.108443, -86.743919)"
Counseling,BUMC - DV Counseling,311 Franklin Rd.,(615) 376-5910,,"311 Franklin Rd.
Brentwood, TN
(36.027978, -86.791688)"
Medical/Dental,Madison Christian Medical Center,320 Hospital Dr.,(615) 891-2105,for uninsured,"320 Hospital Dr.
Madison, TN
(36.254022, -86.684442)"
Students,University Ministries Pastoral Care @ Belmont,1900 Belmont Blvd.,(615) 460-6419,Christian Counseling @ Belmont,"1900 Belmont Blvd.
Nashville, TN
(36.135102, -86.795604)"
Rehab - Drug/Alcohol,Guest House,532 8th Ave. S.,(615) 251-7064,overnight stay for intoxicated people,"532 8th Ave. S.
Nashville, TN
(36.151867, -86.779269)"
Food,Boys and Girls Club/Andrew Jackson,941 16th Ave,(615) 320-5106,Kids Food Bank and Meals,"941 16th Ave
Nashville, TN
(36.166215, -86.800706)"
Children's Services,Centerstone,,(615) 251-9791 (crisis: 800-681-7444),,"Nashville, TN
(36.166687, -86.779932)"
Crisis Info Resources,Vanderbilt Project Safe,304 West Side Row,(615) 875-0660 (crisis: (615) 322-SAFE),,"304 West Side Row
Nashville, TN
(36.147365, -86.805924)"
Children's Services,UNHS Fall Hamilton Family Resource Center,5100 Wedgewood Ave.,(615) 568-3201,Fall-Hamilton area,
Lawyers (Divorce),Brittany L. Kurdziel,,(615) 868-0095,,"Nashville, TN
(36.166687, -86.779932)"
Students,Counseling Services @Belmont,"Gabhart Building, Second Floor",(615) 460-6856,counseling services for Belmont students only,
Crisis Info Resources,Poison Control Center,,1-800-222-1222,,"Nashville, TN
(36.166687, -86.779932)"
Clothing,Goodlettsville Help Center,108 Depot St,(615) 859-4706,"37072 zip code only; Mon - Fri 10:30 am - 2:30 pm. Walk-In ONLY. Need proof of address, social security cards for each household member and a picture ID for the individual registering.",
Crisis Info Resources,Kurdish Human Rights Watch,2805 Foster Ave.,(615) 331-1956,info only,"2805 Foster Ave.
Nashville, TN
(36.113058, -86.742862)"
Job Training,Jewish Family Services,"801 Percy Warner Blvd., Suite 103",(615) 354-1644,Jewish families only,"801 Percy Warner Blvd., Suite 103
Nashville, TN
(36.08364, -86.89032)"
Food,"WIC (Women, Infants, Children)",2500 Charlotte Ave.,(615) 340-5616,for pregnant and postpartum women,"2500 Charlotte Ave.
Nashville, TN
(36.154963, -86.81334)"
Counseling,YWCA - Spanish-speaking Group,2195 Nolensville Pike,(615) 242-1199,has weekly Support Group,"2195 Nolensville Pike
Nashville, TN
(36.126647, -86.753004)"
GED/Education,Tennessee College of Applied Technology,100 White Bridge Rd.,(615) 425-5500,,"100 White Bridge Rd.
Nashville, TN
(36.130872, -86.856743)"
Childcare,Christian Women's Job Corp,420 Main St.,(615) 244-3669,women only,"420 Main St.
Nashville, TN
(36.172758, -86.765556)"
GED/Education,Tn Dept of Labor/Workforce Development,220 French Landing Drive,(800) 531-1515,Free GED classes,"220 French Landing Drive
Nashville, TN
(36.19401, -86.796489)"
Legal Assistance,Disability Law and Advocacy Center of Tennessee (DLAC),"2416 21st Ave. S., Suite 100",(615) 298-1080,people with disabilities only,"2416 21st Ave. S., Suite 100
Nashville, TN
(36.126814, -86.804182)"
Food,Metro Health Dept. Commodities Food Program,1417 Murfreesboro Pike,(615) 862-7907,monthly food box for low-income seniors aged 60+,"1417 Murfreesboro Pike
Nashville, TN
(36.113416, -86.690175)"
Students,The Women's Center @ UTC,642 E. 5th Street,,UTC students,"642 E. 5th Street
Chattanooga, TN
(35.048906, -85.298904)"
Immigrant/Refugee,Immigration & Customs Enforcement,,1-800-937-2867,,"Nashville, TN
(36.166687, -86.779932)"
Transportation Services,Christian Women's Job Corp,420 Main St.,(615) 244-3669,women only,"420 Main St.
Nashville, TN
(36.172758, -86.765556)"
Medical/Dental,Bridges to Care,311 23rd Ave. N.,(615) 760-2799,for people without health insurance,"311 23rd Ave. N.
Nashville, TN
(36.152408, -86.807231)"
Teen Services,Second Harvest BackPack Program,,(615) 329-3491,weekend food for kids,"Nashville, TN
(36.166687, -86.779932)"
Immigrant/Refugee,Catholic Charities Refugee Services,2806 McGavock Pike,(615) 259-3567,,"2806 McGavock Pike
Nashville, TN
(36.213058, -86.687629)"
Medical/Dental,Guardian Hospice,"800 Crescent Centre Dr., Suite 550",(615) 771-8979,for patients with terminal illnesses,"800 Crescent Centre Dr., Suite 550
Franklin, TN
(35.945057, -86.810686)"
Rehab - Drug/Alcohol,YANA Recovery House,,(615) 352-3905 or (615) 383-2755,women only,"Nashville, TN
(36.166687, -86.779932)"
Students,Counseling services @ TSU,Wilson Hall Basement,(615) 963-5611,Couseling for TSU students only,
Men's Resources,Aphesus House,1522 Compton Ave.,(615) 742-3463,for previously incarcerated men,"1522 Compton Ave.
Nashville, TN
(36.130823, -86.794363)"
Food,Abundance Academy,"PO Box 171098, Nashville, 37208",(615) 327-5466,community food bank-pantry,
Children's Services,Cayce Family Resource Center,711 S. 7th St.,(615) 254-1791,,"711 S. 7th St.37206
(36.166867, -86.756502)"
Children's Services,Maplewood Family Resource Center,401 Maplewood Ln.,(615) 262-6633,,"401 Maplewood Ln.
Nashville, TN
(36.228986, -86.745816)"
ESL Classes,Catholic Charities,2806 McGavock Pike,(615) 259-3567,,"2806 McGavock Pike
Nashville, TN
(36.213058, -86.687629)"
GED/Education,Nashville Opportunities Industrialization Center,1819 Charlotte Ave.,(615) 248-2906,,"1819 Charlotte Ave.
Nashville, TN
(36.157763, -86.800779)"
Children's Services,HOPE program (trauma counseling for children),,(615) 352-3087 x223,for children aged 5-18,"Nashville, TN
(36.166687, -86.779932)"
ESL Classes,Natchez Trace Church of Christ,1700 Natchez Trace,(615) 292-4272,,"1700 Natchez Trace
Nashville, TN
(36.138152, -86.810922)"
Housing,Park Center (supervised residents),,(615) 242-3576 x124,clients with mental illness,"Nashville, TN
(36.166687, -86.779932)"
Clothing,Adventist Community Services,403 Gallatin Pike S.,(615) 860-6001,"appointments only- call to make one, no walk ins","403 Gallatin Pike S.
Madison, TN
(36.259055, -86.713324)"
Food,Christian Co-Op Ministry,"201 Madison St., Madison, TN",(615) 868-6865,emergency food assistance,"201 Madison St., Madison, TN
Nashville, TN
(36.177004, -86.78399)"
Immigrant/Refugee,Rose Immigration Center,"2100 West End Ave., #935",(615) 321-2256,,"2100 West End Ave., #935
Nashville, TN
(36.150104, -86.801927)"
Children's Services,The Exchange Club Family Center in Middle Tennessee,139 Thompson Ln.,,,"139 Thompson Ln.
Nashville, TN
(36.110152, -86.736695)"
Rehab - Drug/Alcohol,Alcoholics Anonymous,"176 Thompson Ln., Suite G1",(615) 831-1050 or (615) 832-1136,,"176 Thompson Ln., Suite G1
Nashville, TN
(36.110276, -86.737936)"
ESL Classes,First Church of the Nazarene,510 Woodland St.,(615) 255-1289,,"510 Woodland St.
Nashville, TN
(36.172207, -86.763766)"
Lawyers (Divorce),Janelle Simmons,,(615) 467-1801,,"Nashville, TN
(36.166687, -86.779932)"
Food,Boys and Girls Club/Thompson Ln,5050 Blue Hold Rd,(615) 833-4900,community food bank-pantry,"5050 Blue Hold Rd
Antioch,, TN 37013
(36.056908, -86.672419)"
Medical/Dental,Meharry 12 South Community Clinic,1501 12th Ave. S.,(615) 378-7585,,"1501 12th Ave. S.
Nashville, TN
(36.136554, -86.788525)"
Food,Greater Charlotte Hot Lunch Cooperative,1417 Charlotte Ave.,(615) 329-3386,Monday-Friday 9-2 pm,"1417 Charlotte Ave.
Nashville, TN
(36.160212, -86.794888)"
Medical/Dental,Shade Tree Family Clinic,1223 Dickerson Pike,(615) 422-5262,,"1223 Dickerson Pike
Nashville, TN
(36.193433, -86.77252)"
Children's Services,St. Luke's Community House,,(615) 350-7893,for diapers,"Nashville, TN
(36.166687, -86.779932)"
Children's Services,Hermitage Hall,1220 8th Ave. S.,(615) 742-3000,treatment for children suffering trauma,"1220 8th Ave. S.
Nashville, TN
(36.139865, -86.778439)"
Housing,Be a Helping Hand,827 W. McKennie Ave.,(615) 227-6000,,"827 W. McKennie Ave.
Nashville, TN
(36.192548, -86.754439)"
Housing,Women of Worth Recovery Home,,(615) 243-4785,,"Nashville, TN
(36.166687, -86.779932)"
Christmas,Bethlehem Centers of Nashville,1417 Charlotte Ave.,,residents of 37203 and 37208,"1417 Charlotte Ave.
Nashville, TN
(36.160212, -86.794888)"
Counseling,Pass the Beauty Domestic Violence,Kingdom café - 2610 Jefferson St.,,passthebeauty1@yahoo.com - Occurs every Thursday of each month from 6:30p-7:30p,
Housing,Room in the Inn,705 Drexel St.,(615) 251-7019,,"705 Drexel St.
Nashville, TN
(36.152774, -86.778424)"
Food,McMurray Middle School,520 McMurray Dr,(615) 333-5126,Kids Food Bank and Meals,"520 McMurray Dr
Nashville, TN
(36.05738, -86.722669)"
Transportation Services,Nashville CARES,501 Brick Church Park Dr.,800-845-4266,clients of Nashville CARES only,"501 Brick Church Park Dr.
Nashville, TN
(36.225357, -86.786245)"
GED/Education,Nashville Rescue Mission (women + children),1716 Rosa L. Parks Blvd.,(615) 255-2475,,"1716 Rosa L. Parks Blvd.
Nashville, TN
(36.181595, -86.796917)"
Children's Services,Youth Encouragement Services,521 McIver St.,(615) 315-5333,,"521 McIver St.
Nashville, TN
(36.104293, -86.746447)"
Medical/Dental,Odyssey Hospice,"1400 Donelson Pike, Suite B5",(615) 366-9878,for patients with terminal illnesses,"1400 Donelson Pike, Suite B5
Nashville, TN
(36.097585, -86.677396)"
Clothing,Christian Co-operative Ministry,201 Madison St,(615) 868-4865,37115 zip code only,"201 Madison St
Nashville, TN
(36.177004, -86.78399)"
Medical/Dental,Franklin Road Women's Health Center,2410 Franklin Pike,(615) 630-6500,,"2410 Franklin Pike
Nashville, TN
(36.12611, -86.777033)"
Children's Services,Nashville International Center for Empowerment,"3221 Nolensville Pike, #103",(615) 315-9681,,"3221 Nolensville Pike, #103
Nashville, TN
(36.101786, -86.740566)"
Rehab - Drug/Alcohol,Narcotics Anonymous,,(615) 256-5411 or 1-888-ISNA4U2,,"Nashville, TN
(36.166687, -86.779932)"
Lawyers (Divorce),Adam Zanetis,,(615) 868-0095,,"Nashville, TN
(36.166687, -86.779932)"
Children's Services,LifeCare Family Services (includes exchange),145 Thompson Lane,(615) 781-0013,www.lifecarefamily.org,"145 Thompson Lane
Nashville, TN
(36.110258, -86.737758)"
Immigrant/Refugee,Nations Ministry Center,4710 Charlotte Ave,(615) 828-9664,Job help and other services,"4710 Charlotte Ave
Nashville, TN
(36.152136, -86.843604)"
ESL Classes,Antioch Church of Christ,2142 Antioch Pike,(615) 834-3063,,
Senior/Disabled Housing,Charles Davis Foundation,2400 Rosa L. Parks Blvd.,(615) 254-0396,senior center,"2400 Rosa L. Parks Blvd.
Nashville, TN
(36.193044, -86.814053)"
Children's Services,Our Kids,1804 Hayes St.,(615) 341-4911 ((615) 341-4100 after-hours),medical evals + counseling for sex abuse,"1804 Hayes St.
Nashville, TN
(36.153755, -86.797269)"
Rehab - Drug/Alcohol,Nashville Drug rehab,2817 west end ave #126-144 Park Place,(615) 246-0550,treatment resources,
Job Training,Jobs4Tennessee Database,,,www.jobs4tn.gov,"Nashville, TN
(36.166687, -86.779932)"
Food,YMCA Northwest,3700 Ashland City Hwy,(615) 242-6559,community food bank-pantry,"3700 Ashland City Hwy
Nashville, TN
(36.198027, -86.840081)"
Food,Cross Point Dream Center,4007 Delaware Ave.,(615) 942-5559,,"4007 Delaware Ave.
Nashville, TN
(36.154998, -86.835885)"
Job Training,New Horizons,5221 Harding Pl.,(615) 360-8595,people with developmental disabilities,"5221 Harding Pl.
Nashville, TN
(36.092681, -86.683748)"
Transportation Services,Room in the Inn,705 Drexel St.,(615) 251-7019,,"705 Drexel St.
Nashville, TN
(36.152774, -86.778424)"
Counseling,Sexual Assault Center,101 French Landing Dr.,(615) 259-9055 (crisis: 800-879-1999),,"101 French Landing Dr.
Nashville, TN
(36.18911, -86.79702)"
ESL Classes,CWA Plaza Apartments,500 Shelby Ave.,(615) 254-5576,,"500 Shelby Ave.
Nashville, TN
(36.167655, -86.762027)"
Food,Fifty Forward Bordeaux,3315 John Mallette Dr,(615) 248-2272,community food bank-pantry,"3315 John Mallette Dr
Nashville, TN
(36.193787, -86.834873)"
Medical/Dental,MMC Dept. of Dental Hygiene,1005 Dr. D.B. Todd Jr. Blvd.,(615) 327-6669,,"1005 Dr. D.B. Todd Jr. Blvd.
Nashville, TN
(36.165056, -86.804839)"
Food,Bordeaux Northwest Family Resource Center,1911 South Hamilton Rd,(615) 291-6356,community food bank-pantry,"1911 South Hamilton Rd
Nashville, TN
(36.1918, -86.832948)"
Counseling,Pastoral Counseling Centers of TN,100 Vine Ct.,(615) 383-2115,,"100 Vine Ct.
Nashville, TN
(36.12972, -86.83954)"
Food,Salvation Army Magness-Potter Community Center,611 Stockell St.,(615) 255-0554,emergency food assistance,"611 Stockell St.
Nashville, TN
(36.182693, -86.770226)"
Housing,Metropolitan Development and Housing Agency (MDHA),701 S. 6th St.,(615) 252-8400,,"701 S. 6th St.
Nashville, TN
(36.165754, -86.758813)"
Medical/Dental,Affinity Healthcare Associates,5532 Eulala Dr.,(615) 760-5022,,"5532 Eulala Dr.
Nashville, TN
(36.045862, -86.70356)"
Clothing,Loaves and Fishes,3605 Hillsboro Pike,(615) 460-0172,,"3605 Hillsboro Pike
Nashville, TN
(36.111648, -86.811206)"
Lawyers (Divorce),Jena Story,,(615) 256-4749,,"Nashville, TN
(36.166687, -86.779932)"
Food,The Next Door,2102 Clifton Ave,(615) 251-8805,community food bank-pantry,"2102 Clifton Ave
Nashville, TN
(36.157646, -86.807185)"
Legal Assistance,Tennessee Justice Center,301 Charlotte Ave.,(615) 255-0331,regarding healthcare/health insurance only,"301 Charlotte Ave.
Nashville, TN
(36.166903, -86.779417)"
Rehab - Drug/Alcohol,Phases,211 Morton Ave.,(615) 832-9330,$140/week; women only,"211 Morton Ave.
Nashville, TN
(36.105726, -86.7348)"
Clothing,First Baptist Church Lifelines Outreach,719 Gallatin Pike South,(615) 868-9370,Walk-In Tuesdays ONLY 9:00 am - 11:00 am,
Children's Services,Family and Children's Services,201 23rd Ave. N.,(615) 320-0591 (anytime: (615) 244-7444),,"201 23rd Ave. N.
Nashville, TN
(36.150836, -86.806057)"
GED/Education,Room in the Inn,705 Drexel St.,(615) 251-7019,,"705 Drexel St.
Nashville, TN
(36.152774, -86.778424)"
Lawyers (Immigration),Dawn Gerhard,,(615) 324-7757,,"Nashville, TN
(36.166687, -86.779932)"
Students,Counseling and Personal Development Center @ UTC,,423-425-4438,UTC students,"Nashville, TN
(36.166687, -86.779932)"
Children's Services,South Nashville Family Resource Center,2949 Nolensville Pike,(615) 479-2106,,"2949 Nolensville Pike
Nashville, TN
(36.108443, -86.743919)"
Men's Resources,The HELP Center,"3918 Dickerson Rd., Suite 110",(615) 891-2659,for previously incarcerated,
Counseling,Jewish Family Services,"801 Percy Warner Blvd., Suite 103",(615) 356-4234,,"801 Percy Warner Blvd., Suite 103
Nashville, TN
(36.08364, -86.89032)"
Immigrant/Refugee,American Center for Outreach,2195 Nolensville Rd.,(615) 669-2261,,
Health Insurance,TennCare,1000 2nd Ave. N.,(615) 743-2000 or (615) 532-4000,,"1000 2nd Ave. N.
Nashville, TN
(36.174455, -86.783049)"
Food,Music City Assembly of God,5240 Edmonson Pike,(615) 423-0461,community food bank-pantry,"5240 Edmonson Pike
Nashville, TN
(36.057939, -86.741783)"
Rent/Mortgage/Utility Help,Victims' Compensation,"222 2nd Ave. N., Suite 500",(615) 862-5500,DA's office,"222 2nd Ave. N., Suite 500
Nashville, TN
(36.165554, -86.777486)"
Medical/Dental,Mercy Community Healthcare,"1113 Murfreesboro Rd., Suite 319",(615) 790-0567,,
Senior/Disabled Housing,Vine Hill Studios Apartments,625 Benton Ave.,(615) 252-3686,housing,"625 Benton Ave.
Nashville, TN
(36.13168, -86.768325)"
Job Training,Operation Stand Down,1125 12th Ave. S.,(615) 248-1981,veterans only,"1125 12th Ave. S.
Nashville, TN
(36.143411, -86.78683)"
Lawyers (Divorce),Michelle Breeding,,(615) 868-0095,,"Nashville, TN
(36.166687, -86.779932)"
Teen Services,Hermitage Hall,1220 8th Ave. S.,(615) 742-3000,residential treatment for teens suffering from trauma,"1220 8th Ave. S.
Nashville, TN
(36.139865, -86.778439)"
Counseling,Park Center,948 Woodland St.,(615) 650-2900,,"948 Woodland St.
Nashville, TN
(36.176419, -86.752782)"
Lawyers (Immigration),Sean Lewis,,(615) 646-6002,,"Nashville, TN
(36.166687, -86.779932)"
Crisis Info Resources,Free for Life,,1-888-335-8833,if you or someone you know is being trafficked,"Nashville, TN
(36.166687, -86.779932)"
Food,Old Hickory United Methodist Church,1216 Hadley Ave,(615) 847-5067,Kids Food Bank and Meals,"1216 Hadley Ave
Old Hickory, TN 37138
(36.257839, -86.647788)"
Counseling,Mental Health Cooperative,275 Cumberland Bend,(615) 726-3340 (crisis: (615) 726-0125),,"275 Cumberland Bend
Nashville, TN
(36.195195, -86.789014)"
Rent/Mortgage/Utility Help,Campus for Human Development,625 Benton Ave.,(615) 251-9791,for people who are homeless,"625 Benton Ave.
Nashville, TN
(36.13168, -86.768325)"
Tax Prep,Community Career Center,3703 Park Ave.,(615) 298-6752,"Tuesdays only during tax season; income less than $57,000","3703 Park Ave.
Nashville, TN
(36.151584, -86.829723)"
Clothing,East Nashville Cooperative Ministry,807 Main St.,(615) 540-0122 or (615) 244-7312,Walk-In: Mon - Thu 10:00 am - 12:30 pm & 1:00 pm - 3:00 pm,"807 Main St.
Nashville, TN
(36.175584, -86.758198)"
GED/Education,United Way,250 Venture Circle,(615) 255-8501,education + financial empowerment,"250 Venture Circle
Nashville, TN
(36.196257, -86.795954)"
GED/Education,Help Us Grow Successfully (HUGS),710 Hart Ln.,(615) 650-7000,pregnant/post-partum women,"710 Hart Ln.
Nashville, TN
(36.217136, -86.741187)"
ESL Classes,Kurdish Human Rights Watch,2805 Foster Ave.,(615) 331-1956,,"2805 Foster Ave.
Nashville, TN
(36.113058, -86.742862)"
Food,Kipp Academy,123 Douglas Ave,(615) 226-4484,community food bank-pantry,"123 Douglas Ave
Nashville, TN
(36.194127, -86.769295)"
Counseling,YWCA (Male Survivor's Group),,(615) 242-1199,has weekly Support Group,"Nashville, TN
(36.166687, -86.779932)"
Job Training,Nashville International Center for Empowerment,"3221 Nolensville Pike, #103",(615) 315-9681,immigrants/refugees,"3221 Nolensville Pike, #103
Nashville, TN
(36.101786, -86.740566)"
Rehab - Drug/Alcohol,Samaritan Recovery Community,319 S. 4th St.,(615) 244-4802,,"319 S. 4th St.
Nashville, TN
(36.168034, -86.764341)"
Teen Services,Oasis Center,"1704 Charlotte Pike, Suite 200",(615) 327-4455 (crisis: 866-975-FREE),ages 13-22,
Crisis Info Resources,You Have the Power,2814 12th Ave. S.,(615) 297-7027,,"2814 12th Ave. S.
Nashville, TN
(36.121984, -86.790236)"
Medical/Dental,La Paz Family Hispanic Clinic,4053 Nolensville Pike,(615) 222-1400,español,"4053 Nolensville Pike
Nashville, TN
(36.081113, -86.726806)"
Housing,Park Center (independent residents),,(615) 242-3576 x123,clients with mental illness,"Nashville, TN
(36.166687, -86.779932)"
Rehab - Drug/Alcohol,Bradford Health Services,1410 Donelson Pike,(615) 291-2956,,"1410 Donelson Pike
Nashville, TN
(36.096064, -86.677564)"
Food,Second Harvest Food Bank,331 Great Circle Rd.,(615) 329-3491,Please call us at 615-329-3491 and we will direct you to an Emergency Food Box site near you.,"331 Great Circle Rd.
Nashville, TN
(36.198194, -86.794385)"
Medical/Dental,Matthew Walker Comprehensive Health Center,1035 14th Ave. N.,(615) 327-9400,,"1035 14th Ave. N.
Nashville, TN
(36.170404, -86.801051)"
Immigrant/Refugee,The Center for Refugees and Immigrants,"295 Plus Park Blvd., Suite 102",(615) 366-6868,"tutoring, citizenship classes","295 Plus Park Blvd., Suite 102
Nashville, TN
(36.127161, -86.725002)"
Crisis Info Resources,Crisis Call Center,,(615) 244-7444,,"Nashville, TN
(36.166687, -86.779932)"
Immigrant/Refugee,Tennessee Immigrant and Refugee Rights Coalition (TIRRC),2195 Nolensville Pike,(615) 833-0384,,"2195 Nolensville Pike
Nashville, TN
(36.126647, -86.753004)"
Food,St. Luke's Community House,5601 New York Ave.,(615) 350-7893,emergency food assistance,"5601 New York Ave.
Nashville, TN
(36.165187, -86.855605)"
Childcare,Head Start (3-4 years old)/Early Head Start (0-3 years old),,(615) 862-8860 x70170,,"Nashville, TN
(36.166687, -86.779932)"
GED/Education,Project Return,"1200 Division Street, Suite 200",(615) 327-9654,for the previously incarcerated,"1200 Division Street, Suite 200
Nashville, TN
(36.151179, -86.785128)"
Students,The Women's Center @ TSU,3500 John A. Merritt Boulevard,(615) 963-5000,TSU students,"3500 John A. Merritt Boulevard
Nashville, TN
(36.166975, -86.828549)"
Pet Resources,Nashville Pet Emergency Clinic,2000 12th Ave. S.,(615) 383-2600,,"2000 12th Ave. S.
Nashville, TN
(36.133004, -86.788746)"
Men's Resources,Isaiah 58: Belmont Church,68 Music Sq. E.,(615) 255-4337,,"68 Music Sq. E.
Nashville, TN
(36.147075, -86.792457)"
GED/Education,Martha O'Bryan Center,711 S. 7th St.,(615) 760-4064,,"711 S. 7th St.
Nashville, TN
(36.166867, -86.756502)"
Clothing,Hope Restoration Ministries,,(615) 753-3323,,"Nashville, TN
(36.166687, -86.779932)"
Food,Adventist Community Services,403 Gallatin Pike S.,(615) 860-6001,,"403 Gallatin Pike S.
Madison, TN
(36.259055, -86.713324)"
Children's Services,McKissack Family Resource Center,915 38th Ave.,(615) 321-8366,,"915 38th Ave.
Nashville, TN
(36.159449, -86.830883)"
Rent/Mortgage/Utility Help,Catholic Charities,30 White Bridge Rd.,(615) 352-3087,"up to $75, utilities cannot be disconnected","30 White Bridge Rd.
Nashville, TN
(36.127571, -86.85122)"
Rent/Mortgage/Utility Help,Woodbine Community Organization,,(615) 833-9580,Mortgage Assistance,"Nashville, TN
(36.166687, -86.779932)"
Medical/Dental,Remington College Dental Hygiene Clinic,"441 Donelson Pike, Suite 150",(615) 493-9398,discounted fees,"441 Donelson Pike, Suite 150
Nashville, TN
(36.152319, -86.666327)"
ESL Classes,South Brook Apartments,5101 Linbar Dr.,(615) 834-8340,Refugees only,"5101 Linbar Dr.
Nashville, TN
(36.080173, -86.697723)"
